date,account_value,fold,split,seed
2019-08-16,10120.21147874263,fold8,val,69
2019-08-19,10120.21147874263,fold8,val,69
2019-08-20,10187.56024666232,fold8,val,69
2019-08-21,10104.679746977854,fold8,val,69
2019-08-22,10107.790338549636,fold8,val,69
2019-08-23,10367.433584853798,fold8,val,69
2019-08-26,10252.78604469321,fold8,val,69
2019-08-27,10293.014163765902,fold8,val,69
2019-08-28,10220.535026874131,fold8,val,69
2019-08-29,10089.988848801611,fold8,val,69
2019-08-30,10094.471178270584,fold8,val,69
2019-09-03,10153.495855298015,fold8,val,69
2019-09-04,10038.249506794204,fold8,val,69
2019-09-05,9909.203901504874,fold8,val,69
2019-09-06,9901.551885850578,fold8,val,69
2019-09-09,9896.567908058852,fold8,val,69
2019-09-10,9898.8912890442,fold8,val,69
2019-09-11,9828.500517049972,fold8,val,69
2019-09-12,9794.456472015832,fold8,val,69
2019-09-13,9800.958549084702,fold8,val,69
2019-09-16,9831.23129071394,fold8,val,69
2019-09-17,9806.338461229996,fold8,val,69
2019-09-18,9800.47288559364,fold8,val,69
2019-09-19,9801.124499241005,fold8,val,69
2019-09-20,9892.273131429,fold8,val,69
2019-09-23,9894.594881379404,fold8,val,69
2019-09-24,9972.23586072542,fold8,val,69
2019-09-25,9913.252479361056,fold8,val,69
2019-09-26,9933.90353854218,fold8,val,69
2019-09-27,9987.419721348251,fold8,val,69
2019-09-30,9977.432301626905,fold8,val,69
2019-10-01,9977.432301626905,fold8,val,69
2019-10-02,9791.382897770449,fold8,val,69
2019-10-03,9871.601668913328,fold8,val,69
2019-10-04,10005.185170267694,fold8,val,69
2019-10-07,9962.01622066168,fold8,val,69
2019-10-08,9807.358604058469,fold8,val,69
2019-10-09,9900.492998796704,fold8,val,69
2019-10-10,9967.454869325278,fold8,val,69
2019-10-11,10070.787119301323,fold8,val,69
2019-10-14,10059.570619587515,fold8,val,69
2019-10-15,10159.163344781517,fold8,val,69
2019-10-16,10142.84739879072,fold8,val,69
2019-10-17,10172.759447782431,fold8,val,69
2019-10-18,10128.231613997645,fold8,val,69
2019-10-21,10196.892608407768,fold8,val,69
2019-10-22,10163.582311652954,fold8,val,69
2019-10-23,10153.418729341302,fold8,val,69
2019-10-24,10126.69167827253,fold8,val,69
