market_date,total_news_count,market_hours_news_count,outside_market_hours_news_count,score_0_count,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,score_6_count,score_7_count,score_8_count,score_9_count,score_10_count,sentiment_score_histogram
2000-08-08,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-08-09,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-08-10,57,0,57,0,0,0,0,0,57,0,0,0,0,0,5:57
2000-08-11,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-08-12,12,0,12,0,0,0,0,0,12,0,0,0,0,0,5:12
2000-08-13,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-08-14,41,0,41,0,0,0,0,0,41,0,0,0,0,0,5:41
2000-08-15,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-08-16,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-08-17,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-08-18,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-08-19,15,0,15,0,0,0,0,0,15,0,0,0,0,0,5:15
2000-08-20,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-08-21,49,0,49,0,0,0,0,0,49,0,0,0,0,0,5:49
