variant,date,fold,split,account_value,account_value_std,seed_count
gating,2013-02-21,fold1,test,10002.841388654906,69.05427499153105,5
gating,2013-02-21,fold2,val,9989.260232286464,47.62890227953911,5
gating,2013-02-22,fold1,test,9983.787070102633,169.46168621319967,5
gating,2013-02-22,fold2,val,9948.480064019697,128.18630572077768,5
gating,2013-02-25,fold1,test,10019.02505506331,57.24618796748785,5
gating,2013-02-25,fold2,val,10058.349425263243,56.64903892276522,5
gating,2013-02-26,fold1,test,9973.753762265187,38.810609976485196,5
gating,2013-02-26,fold2,val,10063.943527256753,34.32273195027916,5
gating,2013-02-27,fold1,test,9844.166920790962,40.19131902187237,5
gating,2013-02-27,fold2,val,10057.81650477299,122.5861214901871,5
gating,2013-02-28,fold1,test,9863.607905894349,40.27069179568704,5
gating,2013-02-28,fold2,val,10055.630521186298,110.80069161198436,5
gating,2013-03-01,fold1,test,9831.078363429519,40.13788165244634,5
gating,2013-03-01,fold2,val,10031.83980683497,127.20315692515226,5
gating,2013-03-04,fold1,test,9778.727108148674,39.924144317523975,5
gating,2013-03-04,fold2,val,10008.699507494512,155.72743806607835,5
gating,2013-03-05,fold1,test,9691.120460549373,39.566467862985355,5
gating,2013-03-05,fold2,val,9953.753717664154,228.0227282768698,5
gating,2013-03-06,fold1,test,9677.929712930138,39.51261327580018,5
gating,2013-03-06,fold2,val,9940.951517791289,229.24943480048782,5
gating,2013-03-07,fold1,test,9661.951586638108,36.0546968697973,5
gating,2013-03-07,fold2,val,9928.348523492523,240.03887316547156,5
gating,2013-03-08,fold1,test,9635.266572706007,30.31083440525673,5
gating,2013-03-08,fold2,val,9892.75467298563,253.0871274812177,5
gating,2013-03-11,fold1,test,9609.540120887117,59.280492876943995,5
gating,2013-03-11,fold2,val,9868.797983942732,280.8136348971855,5
gating,2013-03-12,fold1,test,9618.600624647068,55.62934958562486,5
gating,2013-03-12,fold2,val,9884.224897210832,267.23334576536666,5
gating,2013-03-13,fold1,test,9606.642575588477,65.32347378536075,5
gating,2013-03-13,fold2,val,9874.029167364712,274.8332671896488,5
gating,2013-03-14,fold1,test,9572.123834727256,70.99274998910299,5
gating,2013-03-14,fold2,val,9830.402178164793,292.38229798601674,5
gating,2013-03-15,fold1,test,9623.226621782973,69.38055844693902,5
gating,2013-03-15,fold2,val,9884.773745921302,289.63156977384597,5
gating,2013-03-18,fold1,test,9676.33565515934,69.76345854261811,5
gating,2013-03-18,fold2,val,9939.32621563054,291.2299996259656,5
gating,2013-03-19,fold1,test,9692.427728201286,78.528907512474,5
gating,2013-03-19,fold2,val,9962.415610196747,291.9065368705426,5
gating,2013-03-20,fold1,test,9661.364799160974,84.03719325211912,5
gating,2013-03-20,fold2,val,9905.346042856867,316.6560029105488,5
gating,2013-03-21,fold1,test,9675.440548328612,56.955512271794724,5
